filename,width,height,class,xmin,ymin,xmax,ymax,split
train/0000e97ea2d086d6759b19b288a8a72c.jpg,640,640,Mi28,179,373,197,394,train
train/0000e97ea2d086d6759b19b288a8a72c.jpg,640,640,Mi28,234,318,254,344,train
train/0000e97ea2d086d6759b19b288a8a72c.jpg,640,640,Mi28,311,308,328,338,train
train/0000e97ea2d086d6759b19b288a8a72c.jpg,640,640,Mi28,511,347,532,370,train
train/00010041af654d0b8e1e16c824fa9867.jpg,640,640,UH60,392,164,580,231,train
train/000106393cfe2343888c584e65fd2274.jpg,640,640,F16,0,0,326,369,train
train/0002f2cc10d90392efc3ad30cbda6490.jpg,640,640,H6,242,409,257,444,train
train/0002f2cc10d90392efc3ad30cbda6490.jpg,640,640,H6,126,333,140,368,train
train/0002f2cc10d90392efc3ad30cbda6490.jpg,640,640,H6,416,224,430,253,train
train/0002f2cc10d90392efc3ad30cbda6490.jpg,640,640,H6,109,324,124,358,train
train/0002f2cc10d90392efc3ad30cbda6490.jpg,640,640,H6,225,398,240,433,train
train/0002f2cc10d90392efc3ad30cbda6490.jpg,640,640,H6,75,301,90,335,train
train/0002f2cc10d90392efc3ad30cbda6490.jpg,640,640,H6,365,381,379,410,train
train/0002f2cc10d90392efc3ad30cbda6490.jpg,640,640,H6,209,388,224,423,train
train/0002f2cc10d90392efc3ad30cbda6490.jpg,640,640,H6,375,349,389,379,train
train/0002f2cc10d90392efc3ad30cbda6490.jpg,640,640,H6,142,344,157,379,train
train/0002f2cc10d90392efc3ad30cbda6490.jpg,640,640,H6,385,318,399,347,train
train/0002f2cc10d90392efc3ad30cbda6490.jpg,640,640,H6,395,287,410,316,train
train/0002f2cc10d90392efc3ad30cbda6490.jpg,640,640,H6,426,191,440,222,train
train/0002f2cc10d90392efc3ad30cbda6490.jpg,640,640,H6,176,367,190,401,train
train/0002f2cc10d90392efc3ad30cbda6490.jpg,640,640,H6,406,255,420,285,train
train/0002f2cc10d90392efc3ad30cbda6490.jpg,640,640,H6,192,378,207,412,train
train/00032844ab679240fc03ecd27d29a6aa.jpg,640,640,F18,21,6,639,491,train
train/0003f56298fa8999168d7988a2e9549d.jpg,640,640,F22,33,119,561,385,train
train/0003f56298fa8999168d7988a2e9549d.jpg,640,640,F22,72,133,639,431,train
train/000aa01b25574f28b654718db0700f72.jpg,640,640,F35,266,82,624,235,train
train/000aa01b25574f28b654718db0700f72.jpg,640,640,JAS39,52,360,171,418,train
train/000aa01b25574f28b654718db0700f72.jpg,640,640,JAS39,39,425,137,473,train
train/000aa01b25574f28b654718db0700f72.jpg,640,640,B52,86,422,402,551,train
train/000b7e09368a2500506063d27d90fcc0.jpg,640,640,JH7,155,146,615,424,train
train/000bddc03210664312ef2ec8bc18483b.jpg,640,640,KF21,0,0,639,639,train
train/000e7662268a1071827c5a8663e773f9.jpg,640,640,US2,278,179,639,371,train
train/000ec980b5b17156a55093b4bd6004ab.jpg,640,640,Be200,197,146,416,233,train
train/0036c2784a5b8b2a4a1a4bd9109eb2f7.jpg,640,640,EF2000,226,286,417,472,train
train/0039eb1ff33d29c55f943e05730bb259.jpg,640,640,C2,86,204,512,426,train
train/003df4fc3d3cb3aa32f709c92b1463db.jpg,640,640,P3,15,181,574,466,train
train/003ec88e415eac1eddd6c99926d6ad5a.jpg,640,640,CL415,105,265,147,281,train
train/003ec88e415eac1eddd6c99926d6ad5a.jpg,640,640,CL415,204,221,248,241,train
train/003ec88e415eac1eddd6c99926d6ad5a.jpg,640,640,CL415,346,163,392,182,train
train/003ec88e415eac1eddd6c99926d6ad5a.jpg,640,640,CL415,448,192,493,213,train
train/0041e69431bf872309d1aff628b6494f.jpg,640,640,E2,108,248,599,543,train
train/00465d490afac0ebd8a5775e72aedfca.jpg,640,640,F16,557,380,575,404,train
train/00465d490afac0ebd8a5775e72aedfca.jpg,640,640,F16,545,357,563,381,train
train/00465d490afac0ebd8a5775e72aedfca.jpg,640,640,F16,522,311,540,334,train
train/00465d490afac0ebd8a5775e72aedfca.jpg,640,640,F16,533,335,551,357,train
train/00465d490afac0ebd8a5775e72aedfca.jpg,640,640,F16,510,288,528,311,train
train/00465d490afac0ebd8a5775e72aedfca.jpg,640,640,F16,463,195,481,218,train
train/00465d490afac0ebd8a5775e72aedfca.jpg,640,640,F16,427,125,445,148,train
train/00465d490afac0ebd8a5775e72aedfca.jpg,640,640,F16,498,265,517,288,train
train/00465d490afac0ebd8a5775e72aedfca.jpg,640,640,F16,416,102,434,124,train
train/00465d490afac0ebd8a5775e72aedfca.jpg,640,640,F16,404,78,422,101,train
train/00465d490afac0ebd8a5775e72aedfca.jpg,640,640,F16,474,218,493,242,train
train/00465d490afac0ebd8a5775e72aedfca.jpg,640,640,F16,486,242,504,265,train
train/00465d490afac0ebd8a5775e72aedfca.jpg,640,640,F16,439,148,457,172,train
train/00465d490afac0ebd8a5775e72aedfca.jpg,640,640,F16,451,172,469,195,train
train/0048b6531d2792ef6f5b7235b357a348.jpg,640,640,Rafale,226,161,266,172,train
train/0049943dd024c06611a90feb5acebbbd.jpg,640,640,Mig31,355,278,403,298,train
train/0049943dd024c06611a90feb5acebbbd.jpg,640,640,F35,302,474,345,489,train
train/0051a45cc908d93660f686df975c2bbc.jpg,640,640,F35,303,294,330,308,train
train/0052d815facb55cf9f6f639a1647a0a5.jpg,640,640,B52,24,30,639,389,train
train/0052ebf62f5f24c027a08b99ab00c9b9.jpg,640,640,F18,438,408,497,438,train
train/0052ebf62f5f24c027a08b99ab00c9b9.jpg,640,640,F18,189,251,406,408,train
train/0055583f8723e234fb5ce74f3df59cf1.jpg,640,640,Su25,77,163,556,465,train
train/00575701abeaf0730807b3c39e9e1227.jpg,640,640,F16,133,196,493,492,train
train/00575701abeaf0730807b3c39e9e1227.jpg,640,640,F16,134,207,485,507,train
train/00575701abeaf0730807b3c39e9e1227.jpg,640,640,F16,194,180,542,477,train
train/00575701abeaf0730807b3c39e9e1227.jpg,640,640,F16,307,213,569,512,train
train/005a2bac1b0045cd972c75110c0f378b.jpg,640,640,XB70,0,253,639,603,train
train/005cb2ceb8b75d323b3ce390b960cf32.jpg,640,640,F22,344,371,503,636,train
train/005cb2ceb8b75d323b3ce390b960cf32.jpg,640,640,F22,344,50,504,317,train
train/005cb2ceb8b75d323b3ce390b960cf32.jpg,640,640,F35,506,96,635,319,train
train/005cb2ceb8b75d323b3ce390b960cf32.jpg,640,640,F35,506,414,635,638,train
train/005cb2ceb8b75d323b3ce390b960cf32.jpg,640,640,YF23,170,338,346,635,train
train/005cb2ceb8b75d323b3ce390b960cf32.jpg,640,640,YF23,182,27,339,317,train
train/005cb2ceb8b75d323b3ce390b960cf32.jpg,640,640,Su57,5,8,175,317,train
train/005cb2ceb8b75d323b3ce390b960cf32.jpg,640,640,Su57,5,327,175,636,train
train/005e486c03142ce64736bba86b347b96.jpg,640,640,Be200,226,268,305,311,train
train/0067df5849d8cfb479303936b3798aa5.jpg,640,640,F15,561,460,610,518,train
train/0067df5849d8cfb479303936b3798aa5.jpg,640,640,F15,555,325,604,384,train
train/0067df5849d8cfb479303936b3798aa5.jpg,640,640,F15,380,313,430,373,train
train/0067df5849d8cfb479303936b3798aa5.jpg,640,640,F15,21,217,71,275,train
train/0067df5849d8cfb479303936b3798aa5.jpg,640,640,KC135,461,147,567,260,train
train/006de4cab696b5dc16ca3d8591f37cce.jpg,640,640,An72,0,29,639,548,train
train/006e132e1de4098544e937d56a4cf3d3.jpg,640,640,C2,196,267,408,347,train
train/0079ecb92d4a99dc405dae5bde86d8a9.jpg,640,640,F15,138,130,534,495,train
train/007e1165cd0f7adec50b39e319e5e807.jpg,640,640,An22,22,188,187,252,train
